"weight","subsid","soc","age","age_grp","region","sex","tenure","mastat","fihhyr2","dfihhyr","dfihhyrchg","saveamount","huresp","hsval","mg1tot","xpmg","intmg","forebearsec1","forebearsec2","forebearsec3","forebearsec4","forebearsec5","forebearsec6","forebearsec7","forebearsec8","forebeareffsec","brrise","usa","usb","ush","usc","usj","usd","usi","use","usg","us","ustot","xpus","forebearunsec1","forebearunsec2","forebearunsec3","forebearunsec4","forebearunsec5","forebeareffunsec","billscc","actbillscc1","actbillscc2","actbillscc3","actbillscc4","actbillscc5","actbillscc6","actbillscc7","actbillscc10","actbillscc11","actbillscc8","actbillscc9","hscntcr1","hscrchg","hscntcr2","nvesttot","savingch","savebcs1","savebcs2","savebcs3","savebcs4","savebcs5","savebcs6","savebcs7","savebcs8","savebcs9","savebcs10","savebcs11","savebcs12","savebcs13","desavebcs1","desavebcs2","desavebcs3","desavebcs4","desavebcs5","desavebcs6","uncert","uncertch","pubsecty","fisc_impact1","fisc_impact2","fisc_impact3","fisc_impact4","fisc_impact5","fisc_impact6","fisc_impact7","fisc_impact8","fisc11_act1","fisc11_act2","fisc11_act3","fisc11_act4","fisc11_act6","fisc11_act5","fisc11_conc1","fisc11_conc2","fisc11_conc3","fisc11_conc4","fisc11_conc5","fisc11_conc6","fisc11_conc7","fisc11_conc8","fisc_likact1","fisc_likact2","fisc_likact3","fisc_likact4","fisc_likact6","fisc_likact5","jbstat","xphsdf","xphpdf"
1.1984519,22007620,"B",23,"18 - 24","West Midlands","Female","Private rented","never married","£25,000-£29,999","£400-£499","down >£100","£100-£149","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","yes","no","no","yes","no","yes","yes","£200-£499","£120-£139","no","no","no","no","yes",,"keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","don't know","no","refused","Increase by £100-£149 a month","no","no","no","no","no","no","no","no","yes","no","no","no","no",,,,,,,"good idea","no change","yes","no","no","no","no","no","no","yes","no",,,,,,,"no","no","no","no","no","no","yes","no",,,,,,,"in paid employ","no","somewhat"
0.94372426,22238715,"D",22,"18 - 24","East Midlands","Male","Owned mortgage","never married","£17,500-£24,999","600-£699","down <£50","150-£199","yes","£150,000-£174,999","£50,000-£59,999","£350-£399","fixed","no","no","yes","no","no","no","no","no","I would be up to date with my mortgage payments, without much struggle.",,"yes","no","no","no","no","no","no","no","no","yes","£3,000-£3,499","£40-£49","yes","no","no","no","no","I would be up to date with my loan payments, but it would be a struggle","keeping up, struggle from time to time","no","yes","no","no","no","no","no","no","no","no","no","yes","harder","yes","£5,000 - £5,999","Decrease by £50-£99 a month",,,,,,,,,,,,,,"yes","no","no","no","no","no","vague idea","less certain","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","in paid employ","yes","heavy"
1.15438906,20404925,"B",59,"55 - 64","East Midlands","Male","Owned outright","marrried or couple","£40,000-£49,999","£1,000-£1,199","down >£100","£400-£449","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","yes","yes","no","no","no","no","yes","<£200","£10-£19","no","no","no","no","yes",,"keeping up, struggle from time to time","no","no","no","no","no","yes","yes","no","no","no","no","no","the same","no","£30,000 - £34,999","Decrease by £300 or more a month",,,,,,,,,,,,,,"yes","no","no","no","no","no","vague idea","less certain","yes","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","retired","no","no"
0.989021339,21839916,"D",21,"18 - 24","Scotland","Male","Local authority rented","never married","<£4,500","<=199","down >£100","none","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","yes","no","no","no","no","no","no","yes","<£200","<£10","no","no","no","no","yes",,"keeping up, struggle from time to time","no","no","no","no","no","yes","no","no","no","yes","no","yes","not applicable","no","None","Don’t plan to change my monthly savings",,,,,,,,,,,,,,,,,,,,"no idea","less certain","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","unemployed","yes","heavy"
0.938695347,23091998,"C2",24,"18 - 24","North","Female","Private rented","marrried or couple","£25,000-£29,999","£200-£299","down >£100","150-£199","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","yes","yes","no","no","no","no","no","yes","£2,000-£2,499","£200-£219","no","no","no","no","yes",,"keeping up, constant struggle","no","no","no","no","no","yes","yes","yes","no","no","no","no","not applicable","no","£500-£999","Increase by £100-£149 a month","no","no","no","no","no","no","no","yes","yes","no","yes","yes","no",,,,,,,"vague idea","no change","no","no","no","no","no","no","yes","no","no",,,,,,,"no","no","no","yes","no","no","no","no","yes","no","yes","yes","no","no","in paid employ","yes","somewhat"
0.921825204,21501669,"C1",20,"18 - 24","South East","Male","Owned mortgage","never married","£11,500-£13,499","600-£699","down £50-£100","£25-£49","yes","£200,000-£224,999","£40,000-£49,999","£450-£499","discounted","no","no","yes","no","no","no","no","no","I would be behind on my mortgage payments by 6 months or more of payments","£200-299","no","no","no","no","yes","no","no","no","no","yes","£2,500-£2,999","£50-£59","no","no","yes","no","no","Refused","keeping up, constant struggle","no","yes","no","no","no","no","no","no","no","no","no","don't know","don't know","don't know","£2,000 - £2,999","Decrease by £50-£99 a month",,,,,,,,,,,,,,"no","no","no","yes","no","no","no idea","more certain","no","no","no","no","no","yes","no","no","no","don't know","don't know","don't know","don't know","don't know","don't know","no","no","yes","no","no","no","no","no","refused","refused","refused","refused","refused","refused","in paid employ","don't know","somewhat"
1.14476797,23377396,"A",22,"18 - 24","West Midlands","Female","Local authority rented","marrried or couple","£40,000-£49,999","£2,000-£2,999","no change","£300-£349","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","yes","yes","no","no","no","no","no","yes","£500-£999","£50-£59","no","no","no","no","yes",,"keeping up, struggle from time to time","no","no","no","no","no","no","no","no","no","no","yes","no","the same","no","£4,000 - £4,999","don't know",,,,,,,,,,,,,,,,,,,,"don't know","don't know","don't know","no","no","no","yes","yes","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","yes","no","no","in paid employ","no","somewhat"
0.95551542,21155129,"E",66,"65+","Greater London","Male","Owned outright","widowed/divorced/separated","£9,500-£11,499","£700-£799","no change","£50-£99","yes",,"not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up without much difficulty","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","no","harder","no","£100,000 - £149,999","don't know",,,,,,,,,,,,,,,,,,,,"good idea","no change","no","no","no","no","no","no","yes","no","no",,,,,,,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","retired","no","not applicable"
0.932804402,22878331,"E",24,"18 - 24","East Midlands","Male","Private rented","marrried or couple","£4,500-£6,499","<=199","down £50-£100","none","not applicable","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","yes","no","yes","yes","no","no","no","yes","£3,500-£3,999","£50-£59","no","no","no","no","yes",,"keeping up, constant struggle","no","no","no","no","no","no","no","no","yes","no","no","yes","don't know","yes","None","don't know",,,,,,,,,,,,,,,,,,,,"don't know","less certain","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",,,,,,,"unemployed","yes","heavy"
0.791933612,22984627,"E",69,"65+","South West","Female","Owned outright","marrried or couple","£15,500-£17,499","£500-£599","down >£100","£100-£149","no","not applicable","not applicable","not applicable","not applicable",,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no","not applicable","not applicable",,,,,,,"keeping up, struggle from time to time","no","no","no","no","no","yes","yes","no","yes","no","no","yes","not applicable","no","don't know","refused",,,,,,,,,,,,,,,,,,,,"vague idea","less certain","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","self employed","yes","not applicable"
